Date,A - 3.9knot,B 4.0 - 7.8knot,C 7.9 - 11.7knot,D 11.8 - 15.6knot,E 15.7 - 19.4knot,F > 19.4knot,total %
2026.04.05,71.6,26.0,2.4,0.0,0.0,0.0,100
2026.04.06,56.4,38.3,5.3,0.0,0.0,0.0,100
2026.04.07,63.8,33.0,3.1,0.1,0.0,0.0,100
2026.04.08,80.5,18.9,0.6,0.0,0.0,0.0,100
2026.04.09,74.1,24.1,1.8,0.0,0.0,0.0,100
2026.04.10,67.2,31.4,1.4,0.0,0.0,0.0,100
2026.04.11,62.4,35.8,1.8,0.0,0.0,0.0,100
2026.04.12,59.8,37.4,2.8,0.0,0.0,0.0,100
2026.04.13,73.8,25.5,0.7,0.0,0.0,0.0,100
2026.04.14,80.2,19.5,0.3,0.0,0.0,0.0,100
2026.04.15,76.3,22.2,1.5,0.0,0.0,0.0,100
2026.04.16,71.6,27.8,0.7,0.0,0.0,0.0,100
2026.04.17,75.8,23.7,0.6,0.0,0.0,0.0,100
2026.04.18,75.7,22.3,2.0,0.0,0.0,0.0,100
2026.04.19,69.7,28.7,1.6,0.0,0.0,0.0,100
2026.04.20,72.9,23.9,3.1,0.0,0.0,0.0,100
2026.04.21,80.5,17.9,1.5,0.0,0.0,0.1,100
2026.04.22,74.4,24.6,1.0,0.0,0.0,0.0,100
2026.04.23,73.6,21.5,4.7,0.1,0.0,0.0,100
2026.04.24,67.9,28.6,3.5,0.0,0.0,0.0,100
2026.04.25,75.6,23.1,1.3,0.0,0.0,0.0,100
2026.04.26,66.9,30.2,3.0,0.0,0.0,0.0,100
2026.04.27,65.6,30.5,3.9,0.0,0.0,0.0,100
2026.04.28,71.1,28.0,0.8,0.0,0.0,0.0,100
2026.04.29,55.0,37.5,7.6,0.0,0.0,0.0,100
2026.04.30,58.8,39.4,1.8,0.0,0.0,0.0,100
2026.05.01,62.1,35.2,2.8,0.0,0.0,0.0,100
2026.05.02,75.2,21.9,2.9,0.0,0.0,0.0,100
2026.05.03,68.8,29.4,1.7,0.0,0.0,0.0,100
2026.05.04,67.8,31.0,1.0,0.1,0.0,0.0,100
2026.05.05,74.6,25.1,0.4,0.0,0.0,0.0,100
2026.05.06,72.4,27.0,0.6,0.0,0.0,0.0,100
2026.05.07,71.2,24.6,4.1,0.0,0.0,0.0,100
2026.05.08,71.1,25.3,3.6,0.0,0.0,0.0,100
2026.05.09,71.2,26.0,2.8,0.0,0.0,0.0,100
2026.05.10,77.3,22.7,0.0,0.0,0.0,0.0,100
2026.05.11,77.0,22.0,1.0,0.0,0.0,0.0,100
2026.05.12,86.5,12.9,0.6,0.1,0.0,0.0,100
2026.05.13,84.8,13.6,0.9,0.6,0.0,0.0,100
2026.05.14,78.7,21.2,0.1,0.0,0.0,0.0,100
2026.05.15,89.6,7.7,2.3,0.4,0.0,0.0,100
2026.05.16,66.7,30.1,3.1,0.1,0.0,0.0,100
2026.05.17,66.2,17.7,11.1,4.6,0.3,0.0,100
2026.05.18,46.6,30.9,16.3,6.1,0.0,0.0,100
2026.05.19,32.1,34.9,28.9,4.1,0.0,0.0,100
2026.05.20,77.8,15.3,6.7,0.2,0.1,0.0,100
2026.05.21,77.8,21.5,0.7,0.0,0.0,0.0,100
2026.05.22,86.3,13.5,0.2,0.0,0.0,0.0,100
2026.05.23,76.7,23.2,0.1,0.0,0.0,0.0,100
2026.05.24,80.9,19.1,0.0,0.0,0.0,0.0,100
2026.05.25,86.0,11.7,0.9,0.6,0.7,0.1,100
2026.05.26,79.5,18.6,1.7,0.1,0.0,0.1,100
2026.05.27,76.4,23.1,0.6,0.0,0.0,0.0,100
2026.05.28,86.5,13.0,0.4,0.1,0.0,0.0,100
2026.05.29,91.0,7.2,1.5,0.2,0.0,0.1,100
2026.05.30,83.6,15.6,0.8,0.0,0.0,0.0,100
2026.05.31,69.6,19.9,9.1,1.4,0.0,0.0,100
