date,month,calm,light,gentle,quality
2026-04-24,Apr,67.9,28.6,3.5,FAIR
2026-04-25,Apr,75.6,23.1,1.3,GOOD
2026-04-26,Apr,66.9,30.2,3.0,FAIR
2026-04-27,Apr,65.6,30.5,3.9,FAIR
2026-04-28,Apr,71.1,28.0,0.8,GOOD
2026-04-29,Apr,55.0,37.5,7.6,FAIR
2026-04-30,Apr,58.8,39.4,1.8,FAIR
2026-05-01,May,62.1,35.2,2.8,FAIR
2026-05-02,May,75.2,21.9,2.9,GOOD
2026-05-03,May,68.8,29.4,1.7,FAIR
2026-05-04,May,67.8,31.0,1.0,FAIR
2026-05-05,May,74.6,25.1,0.4,GOOD
2026-05-06,May,72.4,27.0,0.6,GOOD
2026-05-07,May,71.2,24.6,4.1,GOOD
2026-05-08,May,71.1,25.3,3.6,GOOD
2026-05-09,May,71.2,26.0,2.8,GOOD
2026-05-10,May,77.3,22.7,0.0,GOOD
2026-05-11,May,77.0,22.0,1.0,GOOD
2026-05-12,May,86.5,12.9,0.6,GOOD
2026-05-13,May,84.8,13.6,0.9,GOOD
2026-05-14,May,78.7,21.2,0.1,GOOD
2026-05-15,May,89.6,7.7,2.3,GOOD
2026-05-16,May,66.7,30.1,3.1,FAIR
2026-05-17,May,66.2,17.7,11.1,FAIR
2026-05-18,May,46.6,30.9,16.3,POOR
2026-05-19,May,32.1,34.9,28.9,POOR
2026-05-20,May,77.8,15.3,6.7,GOOD
2026-05-21,May,77.8,21.5,0.7,GOOD
2026-05-22,May,86.3,13.5,0.2,GOOD
2026-05-23,May,76.7,23.2,0.1,GOOD
2026-05-24,May,80.9,19.1,0.0,GOOD
2026-05-25,May,86.0,11.7,0.9,GOOD
2026-05-26,May,79.5,18.6,1.7,GOOD
2026-05-27,May,76.4,23.1,0.6,GOOD
2026-05-28,May,86.5,13.0,0.4,GOOD
2026-05-29,May,91.0,7.2,1.5,GOOD
2026-05-30,May,83.6,15.6,0.8,GOOD
2026-05-31,May,69.6,19.9,9.1,FAIR
